Snow totals for each winter in inches,,,,,,,,,,,,
,,,,,,,,,,,,
Year,October,November,December,January,February,March,April,May,Total,,,
1920-1921,0,0,3.5,4,0,0,0,0,7.5,,,
1921-1922,0,11,4,8.5,T,0,0.5,0,24,,,
1922-1923,0,0,13.25,6.9,1.5,0,0,0,21.65,,,
1923-1924,0,0,0,T,0,0,0,0,0,,,
1924-1925,0,1.5,6,2,0,0,0,0,9.5,,,
1925-1926,0,10.4,1,1.1,0,0,0,0,12.5,,,
1926-1927,0,2,3.7,3.8,1.6,0,0,0,11.1,,,
1927-1928,0,T,T,12.5,0.4,0,0,0,12.9,,,
1928-1929,0,T,4.2,6,1.7,T,T,0,11.9,,,
1929-1930,0,0,1.3,5.1,2.2,0,0,0,8.6,,,
1930-1931,0,5.3,3,1.6,0.5,0.3,0,0,10.7,,,
1931-1932,0,5.3,7.3,6.8,2.3,1.7,0,0,23.4,,,
1932-1933,0,0,11.7,9.2,7.8,1.5,T,0,30.2,,,
1933-1934,0,0.2,3.6,0.4,T,0,0,0,4.2,,,
1934-1935,0,1.7,2.8,5.2,1.4,T,0,0,11.1,,,
1935-1936,0,0.8,0.4,6.9,4,0.6,T,0,12.7,,,
1936-1937,0,0,3.1,6.5,4.2,0,T,0,13.8,,,
1937-1938,0,0,3.1,1.1,6.4,1.2,0,0,11.8,,,
1938-1939,0,0.2,3.33,0.5,6.2,4.7,0,0,14.93,,,
1939-1940,0.3,0,0.7,5.1,3.2,0,0,0,9.3,,,
1940-1941,0,6.9,0.4,11.2,1.5,0,0,0,20,,,
1941-1942,0,0,1.1,2.9,6.1,3,0,0,13.1,,,
1942-1943,0,4.4,12.9,8.9,2.8,0.5,0,0,29.5,,,
1943-1944,0,0,3,2.4,5.9,T,0,0,11.3,,,
1944-1945,0,T,0.7,0.5,0.9,1,0,0,3.1,,,
1945-1946,0,4.2,3.8,2.2,2,1,0,0,13.2,,,
1946-1947,0,4,0.8,3,0.1,T,T,0,7.9,,,
1947-1948,0,T,2.5,2.7,6,0,T,0,11.2,,,
1948-1949,0,3.6,14.6,2.8,5.5,0.8,0,0,27.3,,,
1949-1950,T,0,2.2,31.4,6,1.7,0.2,0,41.5,,,
1950-1951,0,0.3,3.3,6.3,5.8,3.4,0,0,19.1,,,
1951-1952,0,T,11,7.2,0.7,0,0,0,18.9,,,
1952-1953,0,0,4.9,0.3,0.1,0,0,0,5.3,,,
1953-1954,0,0,1,8.3,1.8,1.8,0,0,12.9,,,
1954-1955,0,0,0,5.6,4.4,0,0,0,10,,,
1955-1956,0,11.5,9.4,10.1,5.3,T,0,0,36.3,,,
1956-1957,0,0.5,T,10,4.4,T,0,0,14.9,,,
1957-1958,0,0,0,1,0,0,0,0,1,,,
1958-1959,0,0,6,6,12,0,0,0,24,,,
1959-1960,0,0.1,2.5,3.5,0,3,0,0,9.1,,,
1960-1961,0,2,5,3,3,0,0,0,13,,,
1961-1962,0,6,7.5,0.5,0.5,3,0,0,17.5,,,
1962-1963,0,1,1,4,10,T,0,0,16,,,
1963-1964,0,0,8,8,0,0,0,0,16,,,
1964-1965,0,1,13,8,0,T,0,0,22,,,
1965-1966,0,2,5,2,1,1,0,0,11,,,
1966-1967,0,T,2.5,1,0.2,2.5,0,0,6.2,,,
1967-1968,0,0,3,1,0,0,0,0,4,,,
1968-1969,0,T,8,16,4,0,0,0,28,,,
1969-1970,0,0.01,5,6,1,1,0,0,13.01,,,
